,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
0,CFG.N,,NaN,,
1,CFG.N,,NaN,,
2,CFG.N,,NaN,,
3,CFG.N,,NaN,,
4,CFG.N,,NaN,,
5,CFG.N,,NaN,,
6,CFG.N,,NaN,,
7,CFG.N,,NaN,,
8,CFG.N,,NaN,,
9,CFG.N,,NaN,,
10,CFG.N,,NaN,,
11,CFG.N,,NaN,,
12,CFG.N,,NaN,,
13,CFG.N,,NaN,,
14,CFG.N,,NaN,,
15,CFG.N,,NaN,,
16,CFG.N,,NaN,,
17,CFG.N,,NaN,,
18,CFG.N,,NaN,,
19,CFG.N,,NaN,,
20,CFG.N,,NaN,,
21,CFG.N,,NaN,,
22,CFG.N,,NaN,,
23,CFG.N,,NaN,,
24,CFG.N,,NaN,,
25,CFG.N,,NaN,,
26,CFG.N,,NaN,,
27,CFG.N,,NaN,,
28,CFG.N,,NaN,,
29,CFG.N,,NaN,,
30,CFG.N,,NaN,,
31,CFG.N,,NaN,,
32,CFG.N,,NaN,,
33,CFG.N,,NaN,,
34,CFG.N,,NaN,,
35,CFG.N,,NaN,,
36,CFG.N,,NaN,,
37,CFG.N,,NaN,,
38,CFG.N,,NaN,,
39,CFG.N,,NaN,,
40,CFG.N,,NaN,,
41,CFG.N,,NaN,,
42,CFG.N,,NaN,,
43,CFG.N,,NaN,,
44,CFG.N,,NaN,,
45,CFG.N,,NaN,,
46,CFG.N,,NaN,,
47,CFG.N,,NaN,,
48,CFG.N,,NaN,,
49,CFG.N,,NaN,,
50,CFG.N,,NaN,,
51,CFG.N,,NaN,,
52,CFG.N,,NaN,,
53,CFG.N,,NaN,,
54,CFG.N,,NaN,,
55,CFG.N,,NaN,,
56,CFG.N,,NaN,,
57,CFG.N,,NaN,,
58,CFG.N,,NaN,,
59,CFG.N,,NaN,,
60,CFG.N,,NaN,,
61,CFG.N,,NaN,,
62,CFG.N,,NaN,,
63,CFG.N,,NaN,,
64,CFG.N,,NaN,,
65,CFG.N,,NaN,,
66,CFG.N,,NaN,,
67,CFG.N,,NaN,,
68,CFG.N,,NaN,,
69,CFG.N,,NaN,,
70,CFG.N,,NaN,,
71,CFG.N,,NaN,,
72,CFG.N,,NaN,,
73,CFG.N,,NaN,,
74,CFG.N,,NaN,,
75,CFG.N,,NaN,,
76,CFG.N,,NaN,,
77,CFG.N,,NaN,,
78,CFG.N,,NaN,,
79,CFG.N,,NaN,,
80,CFG.N,,NaN,,
81,CFG.N,,NaN,,
82,CFG.N,,NaN,,
83,CFG.N,,NaN,,
84,CFG.N,,NaN,,
85,CFG.N,,NaN,,
86,CFG.N,,NaN,,
87,CFG.N,,NaN,,
88,CFG.N,,NaN,,
89,CFG.N,,NaN,,
90,CFG.N,,NaN,,
91,CFG.N,,NaN,,
92,CFG.N,,NaN,,
93,CFG.N,,NaN,,
94,CFG.N,,NaN,,
