,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
0,PYPL.OQ,,NaN,,
1,PYPL.OQ,,NaN,,
2,PYPL.OQ,,NaN,,
3,PYPL.OQ,,NaN,,
4,PYPL.OQ,,NaN,,
5,PYPL.OQ,,NaN,,
6,PYPL.OQ,,NaN,,
7,PYPL.OQ,,NaN,,
8,PYPL.OQ,,NaN,,
9,PYPL.OQ,,NaN,,
10,PYPL.OQ,,NaN,,
11,PYPL.OQ,,NaN,,
12,PYPL.OQ,,NaN,,
13,PYPL.OQ,,NaN,,
14,PYPL.OQ,,NaN,,
15,PYPL.OQ,,NaN,,
16,PYPL.OQ,,NaN,,
17,PYPL.OQ,,NaN,,
18,PYPL.OQ,,NaN,,
19,PYPL.OQ,,NaN,,
20,PYPL.OQ,,NaN,,
21,PYPL.OQ,,NaN,,
22,PYPL.OQ,,NaN,,
23,PYPL.OQ,,NaN,,
24,PYPL.OQ,,NaN,,
25,PYPL.OQ,,NaN,,
26,PYPL.OQ,,NaN,,
27,PYPL.OQ,,NaN,,
28,PYPL.OQ,,NaN,,
29,PYPL.OQ,,NaN,,
30,PYPL.OQ,,NaN,,
31,PYPL.OQ,,NaN,,
32,PYPL.OQ,,NaN,,
33,PYPL.OQ,,NaN,,
34,PYPL.OQ,,NaN,,
35,PYPL.OQ,,NaN,,
36,PYPL.OQ,,NaN,,
37,PYPL.OQ,,NaN,,
38,PYPL.OQ,,NaN,,
39,PYPL.OQ,,NaN,,
40,PYPL.OQ,,NaN,,
41,PYPL.OQ,,NaN,,
42,PYPL.OQ,,NaN,,
43,PYPL.OQ,,NaN,,
44,PYPL.OQ,,NaN,,
45,PYPL.OQ,,NaN,,
46,PYPL.OQ,,NaN,,
47,PYPL.OQ,,NaN,,
48,PYPL.OQ,,NaN,,
49,PYPL.OQ,,NaN,,
50,PYPL.OQ,,NaN,,
51,PYPL.OQ,,NaN,,
52,PYPL.OQ,,NaN,,
53,PYPL.OQ,,NaN,,
54,PYPL.OQ,,NaN,,
55,PYPL.OQ,,NaN,,
56,PYPL.OQ,,NaN,,
57,PYPL.OQ,,NaN,,
58,PYPL.OQ,,NaN,,
59,PYPL.OQ,,NaN,,
60,PYPL.OQ,,NaN,,
61,PYPL.OQ,,NaN,,
62,PYPL.OQ,,NaN,,
63,PYPL.OQ,,NaN,,
64,PYPL.OQ,,NaN,,
65,PYPL.OQ,,NaN,,
66,PYPL.OQ,,NaN,,
67,PYPL.OQ,,NaN,,
68,PYPL.OQ,,NaN,,
69,PYPL.OQ,,NaN,,
70,PYPL.OQ,,NaN,,
71,PYPL.OQ,,NaN,,
72,PYPL.OQ,,NaN,,
73,PYPL.OQ,,NaN,,
74,PYPL.OQ,,NaN,,
75,PYPL.OQ,,NaN,,
76,PYPL.OQ,,NaN,,
77,PYPL.OQ,,NaN,,
78,PYPL.OQ,,NaN,,
79,PYPL.OQ,,NaN,,
80,PYPL.OQ,,NaN,,
81,PYPL.OQ,,NaN,,
82,PYPL.OQ,,NaN,,
83,PYPL.OQ,,NaN,,
84,PYPL.OQ,,NaN,,
85,PYPL.OQ,,NaN,,
86,PYPL.OQ,,NaN,,
87,PYPL.OQ,,NaN,,
88,PYPL.OQ,,NaN,,
89,PYPL.OQ,,NaN,,
90,PYPL.OQ,,NaN,,
91,PYPL.OQ,,NaN,,
92,PYPL.OQ,,NaN,,
93,PYPL.OQ,,NaN,,
94,PYPL.OQ,,NaN,,
95,PYPL.OQ,,NaN,,
96,PYPL.OQ,,NaN,,
97,PYPL.OQ,,NaN,,
98,PYPL.OQ,,NaN,,
99,PYPL.OQ,,NaN,,
100,PYPL.OQ,,NaN,,
101,PYPL.OQ,,NaN,,
102,PYPL.OQ,,NaN,,
103,PYPL.OQ,,NaN,,
104,PYPL.OQ,,NaN,,
105,PYPL.OQ,,NaN,,
106,PYPL.OQ,,NaN,,
107,PYPL.OQ,,NaN,,
108,PYPL.OQ,,NaN,,
109,PYPL.OQ,,NaN,,
110,PYPL.OQ,,NaN,,
111,PYPL.OQ,,NaN,,
112,PYPL.OQ,,NaN,,
113,PYPL.OQ,,NaN,,
114,PYPL.OQ,,NaN,,
115,PYPL.OQ,,NaN,,
116,PYPL.OQ,,NaN,,
117,PYPL.OQ,,NaN,,
118,PYPL.OQ,,NaN,,
119,PYPL.OQ,,NaN,,
120,PYPL.OQ,,NaN,,
121,PYPL.OQ,,NaN,,
122,PYPL.OQ,,NaN,,
123,PYPL.OQ,,NaN,,
124,PYPL.OQ,,NaN,,
125,PYPL.OQ,,NaN,,
126,PYPL.OQ,,NaN,,
127,PYPL.OQ,,NaN,,
128,PYPL.OQ,,NaN,,
129,PYPL.OQ,,NaN,,
130,PYPL.OQ,,NaN,,
131,PYPL.OQ,,NaN,,
132,PYPL.OQ,,NaN,,
133,PYPL.OQ,,NaN,,
134,PYPL.OQ,,NaN,,
135,PYPL.OQ,,NaN,,
136,PYPL.OQ,,NaN,,
137,PYPL.OQ,,NaN,,
138,PYPL.OQ,2015-07-31T00:00:00Z,5.42086625076059,47165067913.5,38.7
139,PYPL.OQ,2015-08-31T00:00:00Z,-9.56072351362627,42655746175.0,35.0
140,PYPL.OQ,2015-09-30T00:00:00Z,-11.4155251136366,37829553179.2,31.04
141,PYPL.OQ,2015-10-30T00:00:00Z,16.0115979390987,43993059060.6,36.01
142,PYPL.OQ,2015-11-30T00:00:00Z,-2.08275479259428,43076791515.6,35.26
143,PYPL.OQ,2015-12-31T00:00:00Z,2.66591037956043,44225180172.0,36.2
144,PYPL.OQ,2016-01-29T00:00:00Z,-0.165745856237642,44151878768.4,36.14
145,PYPL.OQ,2016-02-29T00:00:00Z,5.53403431197732,46632858902.28,38.14
146,PYPL.OQ,2016-03-31T00:00:00Z,1.20608285357671,47195289817.2,38.6
147,PYPL.OQ,2016-04-29T00:00:00Z,0.358606558003105,47487204656.34,39.18
148,PYPL.OQ,2016-05-31T00:00:00Z,-3.54772843402464,45802487594.77,37.79
149,PYPL.OQ,2016-06-30T00:00:00Z,-4.14807035862769,44251093466.13,36.51
150,PYPL.OQ,2016-07-29T00:00:00Z,1.99945220504201,44945627027.56,37.24
151,PYPL.OQ,2016-08-31T00:00:00Z,-0.241675616295545,44837004405.85,37.15
152,PYPL.OQ,2016-09-30T00:00:00Z,10.7297297304134,49447431238.43,40.97
153,PYPL.OQ,2016-10-31T00:00:00Z,1.68415914160498,50268868860.56,41.66
154,PYPL.OQ,2016-11-30T00:00:00Z,-5.93869731925367,47397051580.48,39.28
155,PYPL.OQ,2016-12-30T00:00:00Z,0.483706721181965,47626314304.52,39.47
156,PYPL.OQ,2017-01-31T00:00:00Z,0.785406636719088,48000374538.48,39.78
157,PYPL.OQ,2017-02-28T00:00:00Z,4.29600198459092,50718495828.0,42.0
158,PYPL.OQ,2017-03-31T00:00:00Z,2.42857143042583,51950230726.68,43.02
159,PYPL.OQ,2017-04-28T00:00:00Z,9.60036747821675,57324054617.88,47.72
160,PYPL.OQ,2017-05-31T00:00:00Z,9.40905280742415,62717705188.59,52.21
161,PYPL.OQ,2017-06-30T00:00:00Z,5.111633373665,64471542567.93,53.67
162,PYPL.OQ,2017-07-31T00:00:00Z,9.09260294401295,70400345755.2,58.55
163,PYPL.OQ,2017-08-31T00:00:00Z,5.34585823964526,74163848440.3199,61.68
164,PYPL.OQ,2017-09-29T00:00:00Z,3.65873401303063,76989481446.72,64.03
165,PYPL.OQ,2017-10-31T00:00:00Z,13.3218803693022,87210612383.84,72.56
166,PYPL.OQ,2017-11-30T00:00:00Z,6.43710470989354,91020668079.22,75.73
167,PYPL.OQ,2017-12-29T00:00:00Z,-2.78621418383336,88484637316.68,73.62
168,PYPL.OQ,2018-01-31T00:00:00Z,15.892420536844,102546987990.48,85.32
169,PYPL.OQ,2018-02-28T00:00:00Z,-7.0684610885076,95304737761.05,79.41
170,PYPL.OQ,2018-03-29T00:00:00Z,-4.45787684255465,91056169927.35,75.87
171,PYPL.OQ,2018-04-30T00:00:00Z,-1.66073546855507,88590931013.25,74.61
172,PYPL.OQ,2018-05-31T00:00:00Z,9.99865969819973,97448836727.7499,82.07
173,PYPL.OQ,2018-06-29T00:00:00Z,2.04656862792527,98873700917.75,83.27
174,PYPL.OQ,2018-07-31T00:00:00Z,-1.35703134422097,97226859807.12,82.14
175,PYPL.OQ,2018-08-31T00:00:00Z,12.4056488892867,109288482663.64,92.33
