,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
0,TSLA.OQ,,NaN,,
1,TSLA.OQ,,NaN,,
2,TSLA.OQ,,NaN,,
3,TSLA.OQ,,NaN,,
4,TSLA.OQ,,NaN,,
5,TSLA.OQ,,NaN,,
6,TSLA.OQ,,NaN,,
7,TSLA.OQ,,NaN,,
8,TSLA.OQ,,NaN,,
9,TSLA.OQ,,NaN,,
10,TSLA.OQ,,NaN,,
11,TSLA.OQ,,NaN,,
12,TSLA.OQ,,NaN,,
13,TSLA.OQ,,NaN,,
14,TSLA.OQ,,NaN,,
15,TSLA.OQ,,NaN,,
16,TSLA.OQ,,NaN,,
17,TSLA.OQ,,NaN,,
18,TSLA.OQ,,NaN,,
19,TSLA.OQ,,NaN,,
20,TSLA.OQ,,NaN,,
21,TSLA.OQ,,NaN,,
22,TSLA.OQ,,NaN,,
23,TSLA.OQ,,NaN,,
24,TSLA.OQ,,NaN,,
25,TSLA.OQ,,NaN,,
26,TSLA.OQ,,NaN,,
27,TSLA.OQ,,NaN,,
28,TSLA.OQ,,NaN,,
29,TSLA.OQ,,NaN,,
30,TSLA.OQ,,NaN,,
31,TSLA.OQ,,NaN,,
32,TSLA.OQ,,NaN,,
33,TSLA.OQ,,NaN,,
34,TSLA.OQ,,NaN,,
35,TSLA.OQ,,NaN,,
36,TSLA.OQ,,NaN,,
37,TSLA.OQ,,NaN,,
38,TSLA.OQ,,NaN,,
39,TSLA.OQ,,NaN,,
40,TSLA.OQ,,NaN,,
41,TSLA.OQ,,NaN,,
42,TSLA.OQ,,NaN,,
43,TSLA.OQ,,NaN,,
44,TSLA.OQ,,NaN,,
45,TSLA.OQ,,NaN,,
46,TSLA.OQ,,NaN,,
47,TSLA.OQ,,NaN,,
48,TSLA.OQ,,NaN,,
49,TSLA.OQ,,NaN,,
50,TSLA.OQ,,NaN,,
51,TSLA.OQ,,NaN,,
52,TSLA.OQ,,NaN,,
53,TSLA.OQ,,NaN,,
54,TSLA.OQ,,NaN,,
55,TSLA.OQ,,NaN,,
56,TSLA.OQ,,NaN,,
57,TSLA.OQ,,NaN,,
58,TSLA.OQ,,NaN,,
59,TSLA.OQ,,NaN,,
60,TSLA.OQ,,NaN,,
61,TSLA.OQ,,NaN,,
62,TSLA.OQ,,NaN,,
63,TSLA.OQ,,NaN,,
64,TSLA.OQ,,NaN,,
65,TSLA.OQ,,NaN,,
66,TSLA.OQ,,NaN,,
67,TSLA.OQ,,NaN,,
68,TSLA.OQ,,NaN,,
69,TSLA.OQ,,NaN,,
70,TSLA.OQ,,NaN,,
71,TSLA.OQ,,NaN,,
72,TSLA.OQ,,NaN,,
73,TSLA.OQ,,NaN,,
74,TSLA.OQ,,NaN,,
75,TSLA.OQ,,NaN,,
76,TSLA.OQ,,NaN,,
77,TSLA.OQ,2010-06-30T00:00:00Z,-0.251151109000003,2218796835.19,1.588665078
78,TSLA.OQ,2010-07-30T00:00:00Z,-16.3239613940454,1856601296.42,1.329332004
79,TSLA.OQ,2010-08-31T00:00:00Z,-1.50451354115509,1815495832.24,1.309332024
